City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
576,576,Majene,ID,-3.5403,118.9707,78.03,80,100,5.7,moderate rain,Kost Putri RABBANI
578,578,Cairns,AU,-16.9167,145.7667,78.8,89,40,9.22,scattered clouds,Mantra Trilogy Cairns
579,579,Bongandanga,CD,1.5,21.05,78.6,71,97,4.79,overcast clouds,
580,580,Maua,BR,-23.6678,-46.4614,82.4,47,75,10.36,broken clouds,Hotel Capriccio Mauá
584,584,Madimba,TZ,-10.4,40.3333,82.4,83,40,17.27,scattered clouds,
586,586,Port Hedland,AU,-20.3167,118.5667,87.8,79,62,11.5,light rain,The Esplanade Hotel
590,590,Manado,ID,1.4869999999999999,124.8455,75.2,94,40,3.44,light rain,Aryaduta Hotel
591,591,El Alto,PE,-4.2714,-81.2147,77.0,69,75,13.8,broken clouds,Black Marlin Lodge & Restaurant
603,603,Pucallpa,PE,-8.3791,-74.5539,82.4,74,75,5.75,light rain,Hotel Sol de Oriente - Pucallpa
609,609,Marawi,PH,7.9986,124.2928,75.0,95,100,4.0,light rain,Derogongan Residence
618,618,Teluknaga,ID,-6.0989,106.6381,82.0,78,40,6.91,moderate rain,Bale Ocasa hotel
621,621,Port-Gentil,GA,-0.7193,8.7815,86.0,74,40,11.5,scattered clouds,Fengshui Residence
626,626,Saint-Joseph,RE,-21.3667,55.6167,82.4,83,0,4.61,clear sky,"""Plantation Bed and Breakfast"
628,628,Louis Trichardt,ZA,-23.0439,29.9032,77.65,74,100,0.56,overcast clouds,139 on Munnik Guest House
629,629,Maridi,SS,4.9158,29.4742,86.22,19,11,4.45,few clouds,
632,632,Puerto Gaitan,CO,4.3133,-72.0816,89.56,43,33,17.29,scattered clouds,Brisas del Yucao
633,633,Motozintla,MX,15.3667,-92.2333,84.2,74,40,4.54,scattered clouds,Hotel Maya
636,636,Pundaguitan,PH,6.3711,126.1689,79.54,84,100,6.49,moderate rain,Leonardo Family Beach House 1
639,639,Kudahuvadhoo,MV,2.6708,72.8944,81.86,71,50,8.66,scattered clouds,Niyama Private Islands Maldives
642,642,Bubaque,GW,11.2833,-15.8333,78.08,52,52,8.23,broken clouds,"Casa Dora, Bubaque"
645,645,Paita,PE,-5.0892,-81.1144,77.0,69,75,13.8,broken clouds,Hotel Náutico de Paita
647,647,Upata,VE,8.0086,-62.3989,82.99,73,6,7.0,clear sky,Posada Villa Nela
648,648,Joanopolis,BR,-22.9303,-46.2756,84.2,51,75,6.91,broken clouds,Espaço Orchestra do Silêncio
654,654,Ende,ID,-8.8432,121.6623,78.94,83,100,5.53,moderate rain,Dwi Putra Hotel - Ende
656,656,Vangaindrano,MG,-23.35,47.6,81.14,85,76,10.29,broken clouds,Hotel Fanilo
660,660,Si Racha,TH,13.1737,100.9311,82.0,72,0,8.28,clear sky,Cape Racha Hotel & Serviced Apartments
661,661,Sinnamary,GF,5.3833,-52.95,81.36,73,97,13.22,overcast clouds,ALETHEIA Appartement Sinnamary
