City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,Ferkessedougou,9.6,-5.2,97.23,8,79,5.5,CI,2021-01-16 14:48:37
261,Mubi,10.2676,13.2644,93.02,11,0,6.11,NG,2021-01-16 14:48:38
262,Salinas,36.6777,-121.6555,52.0,71,1,5.75,US,2021-01-16 14:48:38
263,Sinnamary,5.3833,-52.95,80.85,74,100,13.27,GF,2021-01-16 14:48:38
264,Aasiaat,68.7098,-52.8699,4.5,86,8,10.8,GL,2021-01-16 14:48:38
265,Barra Do Garcas,-15.89,-52.2567,82.4,69,75,1.14,BR,2021-01-16 14:48:38
266,Gornozavodsk,58.3758,58.3211,7.29,94,100,10.13,RU,2021-01-16 14:48:38
267,Kieta,-6.2167,155.6333,79.47,78,84,4.07,PG,2021-01-16 14:48:38
268,Lasa,46.6166,10.7002,34.0,54,0,8.05,IT,2021-01-16 14:48:38
269,Waingapu,-9.6567,120.2641,77.45,85,100,5.66,ID,2021-01-16 14:48:39
270,Rorvik,64.8621,11.2373,30.51,93,0,9.66,NO,2021-01-16 14:48:39
271,Naryan-Mar,67.6713,53.087,-15.61,80,0,4.32,RU,2021-01-16 14:48:39
272,Bac Lieu,9.285,105.7244,74.35,83,95,12.39,VN,2021-01-16 14:48:39
273,Charyshskoye,51.3978,83.5598,22.19,82,100,4.23,RU,2021-01-16 14:48:39
274,Iskateley,67.6803,53.1512,-15.83,80,0,4.32,RU,2021-01-16 14:48:39
275,Rocha,-34.4833,-54.3333,83.28,59,62,10.83,UY,2021-01-16 14:48:40
276,Rosetta,31.4044,30.4164,66.2,55,20,17.27,EG,2021-01-16 14:48:40
277,Winslow,35.0242,-110.6974,26.6,33,20,5.75,US,2021-01-16 14:48:40
278,Bellevue,47.6104,-122.2007,42.01,100,40,1.83,US,2021-01-16 14:44:29
279,Rio Grande City,26.3798,-98.8203,57.99,65,1,3.44,US,2021-01-16 14:48:40
280,Tungor,53.3808,142.9564,-19.01,88,37,9.86,RU,2021-01-16 14:48:40
281,Muzhi,65.3667,64.6667,-10.97,90,84,3.98,RU,2021-01-16 14:48:40
282,Santa Cruz Cabralia,-16.2781,-39.0247,82.4,65,40,10.36,BR,2021-01-16 14:48:40
283,College,64.8569,-147.8028,7.0,78,1,3.67,US,2021-01-16 14:48:41
284,Chuncheng,22.1731,111.7886,64.6,60,99,1.05,CN,2021-01-16 14:48:41
285,Carutapera,-1.195,-46.02,85.6,62,88,8.5,BR,2021-01-16 14:48:41
286,Chadiza,-14.0678,32.4392,76.39,81,78,2.51,ZM,2021-01-16 14:48:41
287,Claveria,18.6074,121.0832,72.18,82,31,8.86,PH,2021-01-16 14:48:41
288,Sabang,5.8933,95.3214,78.35,84,96,10.83,ID,2021-01-16 14:48:41
289,Meulaboh,4.1363,96.1285,76.77,86,100,3.27,ID,2021-01-16 14:48:42
290,Adigeni,41.6819,42.6987,46.4,76,90,25.32,GE,2021-01-16 14:48:42
291,Simao,22.7886,100.9748,52.83,93,95,2.3,CN,2021-01-16 14:48:42
292,Anamur,36.0751,32.8369,57.2,94,75,2.39,TR,2021-01-16 14:48:41
293,Pouembout,-21.1333,164.9,78.04,87,100,2.01,NC,2021-01-16 14:48:42
294,Fredericksburg,38.3032,-77.4605,39.2,93,40,4.61,US,2021-01-16 14:44:48
