City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Hirara,JP,24.8,125.2833,64.94,81,94,30.36,overcast clouds
314,Vila Velha,BR,-20.3297,-40.2925,84.2,65,40,12.66,light rain
315,Egvekinot,RU,66.3167,-179.1667,-15.38,86,100,16.64,overcast clouds
316,Tabriz,IR,38.08,46.2919,37.4,65,40,4.61,scattered clouds
317,Chuy,UY,-33.6971,-53.4616,79.3,81,77,9.24,broken clouds
318,San Vicente,AR,-26.6167,-54.1333,84.76,57,47,7.52,heavy intensity rain
319,Tafresh,IR,34.692,50.013,38.91,73,0,3.85,clear sky
320,Tarakan,ID,3.3,117.6333,76.17,94,100,9.66,overcast clouds
321,Sungairaya,ID,0.7,108.9,78.21,87,100,9.06,light rain
322,Morondava,MG,-20.2833,44.2833,84.79,70,87,4.5,overcast clouds
323,Urdoma,RU,61.7533,48.5442,-5.89,91,94,8.3,overcast clouds
324,Manggar,ID,-2.8833,108.2667,79.47,86,100,9.57,light rain
325,Byron Bay,AU,-28.65,153.6167,68.0,83,90,4.61,overcast clouds
326,Sabha,LY,27.0377,14.4283,58.1,32,1,6.04,clear sky
327,Contamana,PE,-7.3333,-75.0167,82.09,67,92,4.63,overcast clouds
328,Zhanaozen,KZ,43.3,52.8,35.55,83,45,8.72,scattered clouds
329,Yanggu,CN,36.1106,115.7753,28.74,77,0,5.08,clear sky
330,Florida,US,28.7505,-82.5001,57.99,44,75,6.91,broken clouds
331,Mbigou,GA,-1.9005,11.906,76.05,88,90,2.15,moderate rain
332,Yuryevets,RU,57.3201,43.1041,6.44,95,100,12.44,light snow
333,Mount Pleasant,US,32.7941,-79.8626,51.01,46,1,14.97,clear sky
334,Manzanillo,CU,20.3433,-77.1167,81.95,58,98,1.68,overcast clouds
335,San Patricio,US,28.017,-97.5169,55.0,53,20,3.13,few clouds
336,Deoband,IN,29.7,77.6833,52.84,61,0,5.68,clear sky
337,Nanning,CN,22.8167,108.3167,62.6,72,100,2.24,haze
338,Osmena,PH,10.5208,119.9258,80.31,77,100,23.91,overcast clouds
339,Morehead,US,37.2711,-87.1764,36.0,80,90,6.91,overcast clouds
340,Yar-Sale,RU,66.8333,70.8333,-3.01,92,94,5.88,overcast clouds
341,Marzuq,YE,14.4,46.4667,64.49,36,0,3.56,clear sky
342,Ambovombe,MG,-25.1667,46.0833,81.55,78,60,7.99,broken clouds
343,Lae,PG,-6.7221,146.9847,77.94,83,100,4.94,moderate rain
344,Dawson,US,31.7735,-84.4466,48.2,40,1,20.71,clear sky
345,Caravelas,BR,-17.7125,-39.2481,84.79,56,3,10.51,clear sky
346,Taoudenni,ML,22.6783,-3.9836,73.9,17,35,16.44,scattered clouds
347,Killybegs,IE,54.6333,-8.45,46.4,71,40,23.02,scattered clouds
348,Ko Samui,TH,9.5357,99.9357,79.43,75,20,13.49,few clouds
